Aarão,Baqui,Carlo,Davi,Edmundo,Fabiano,Gabínio,Habacuc,Iag,Jabes,Kévim ,Ladislau,Macário,Nabor,Oceano,Pacal,Quaresma,Râdamas,Sabino,Taciano,Ubaldo,Vaíse,Wilson,Xavier,Yuri,Zacarias
Abdias,Barac,Carlos,David,Edmur,Fabião,Gabino,Habacuque,Iago,Jabim,,Lael,Maciel,Nádege,Octaviano,Parcidio,Quéli,Rafael,Sacramento,Tácio,Udo,Valdemar,William,Xico ,Yan,Zaido
Abel,Barão,Carmério,Davide,Edo,Fábio,Gabriel,Hamilton,Ian,Jacinto,,Laércio,Madail,Nadir,Octávio,Parcídio,Querubim,Rafaelo,Sadi,Tadeu,Ulisses,Valdir,Welton,,Yarin ,Zaido
Abelâmio,Bárbaro,Carmim,de Assis,Eduardo,Fabrício,Galiano,Haraldo,Ianis,Jacó,,Laertes,Madaleno,Naod,Odair,Páris,Quévin,Ragendra,Sadraque,Tálio,Ulrico,Valdo,Willy,,,Zaíro
Abner,Barcino,Carsta,Décimo,Eduartino,Falcão,Galileu,Haroldo,Ibérico,Jacob,,Laudelino,Madate,Narsélio,Odeberto,Pascoal,Quiliano,Rai,Sadrudine,Tâmiris,Urbano,Valdomiro,Wallace,,,Zaqueu
Abelardo,Barnabé,Casimiro,Décio,Eduíno,Falco,Gamaliel,Hazael,Ícaro,Jácome,,Laureano,Madjer,Nascimento,Ódin,Patrício,Quim,Raimundo,Saladino,Tarcísio,Urbino,Valente,Wermeson,,,Zadeão
Abílio,Bartolomeu,Cassiano,Deivid,Edvaldo,Faustino,Garcia,Héber,Idalécio,Jader,,Laurénio,Madu,Nasser,Olavo,Paulino,Quintino,Ralfe,Salazar,Tarsício,Urias,Valentim,Warley,,,Zadoque
Abraão,Bartolomeu,Caetano,Dejalme,Edvino,Fausto,Garibaldo,Heitor,Idálio,Jadir,,Laurentino,Magdo,Natã,Olegário,Paulo,Quirilo,Ramberto,Salemo,Tasso,Uriel,Valentino,Warlen ,,,Zafriel
Abraim,Basílio,Caíco,Délcio,Egas,Feliciano,Gascão,Heldemaro,Idário,Jaime,,Lauriano,Magno,Natalício,Olímpio,Pedrino,Quirino,Ramiro,Sales,Tatiano,Urien ,Valério,,,,Zalman
Abrão,Balbino,Caio,Delfim,Egídio,Felício,Gaspar,Hélder,Idavide,Jair,,Laurindo,Mago,Natalino,Olindo,Pedro,Quírio ,Ramna,Sáli,Teliano,,Valgi,,,,Zarco
Absalão,Baldemar,Caleb,Delfino,Egil,Felicíssimo,Gastão,Heldo,Idelso,Jairo,,Lauro,Mair,Natálio,Olinto,Pelaio,,Ramon,Salma,Telmo,,Válter,,,,Zared
Abssilão,Baldomero,Calisto,Délio,Eládio,Felisberto,Gaudêncio,Heleno,Igor,James,,Lázaro,Mamede,Natanael,Olivar,Peniel,,Randolfo,Salomão,Telo,,Vando,,,,Zarão
Acácio,Balduíno,Calvino,Delmano,Eleazar,Felismino,Gávio,Helier,Ildefonso,Jamim,,Leal,Manassés,Nataniel,Oliveiros,Pepe,,Rapaz,Salustiano,Teobaldo,,Vânio,,,,Zebadiah
Acilino,Baltasar,Camilo,Delmar,Eleutério,Félix,Gedeão,Hélio,Ildo,Janai,,Leandro,Manel,Natão,Olivério,Pépio,,Raúl,Salustiniano,Teodemiro,,Varo,,,,Zebilon
Acílio,Baptista,Cândido,Delmiro,Elgar,Feliz,Genésio,Heliodoro,Ilídio,Janardo,,Leão,Manuel,Natércio,Olivier,Perfeito,,Ravi,Salvador,Teodomiro,,Vasco,,,,Zuriel
Acúrsio,Bassarme,Canto,Demétrio,Eli,Ferdinando,Gentil,Hélmut,Inácio,Janique,,Léccio,Mapril,Nazário,Omar,Péricles,,Reginaldo,Salviano,Teodoro,,Venâncio,,,,Zózimo 
Adail,Bastião,Cássio,Dácio,Eberardo,Fernandino,Georgino,Hélvio,Indalécio,Jansénio,,Lécio,Mar,Nélio,Omer,Perpétuo,,Regino,Samaritano,Teodósio,,Venceslau,,,,
Adalberto,Batista,Castelino,Dagmar,Eda,Fernando,Geraldo,Hemaxi,Indra,Januário,,Lemuel,Marcelino,Nelmo,Ondino,Pérsio,,Reinaldo,Samir,Teófilo,,Vêndel,,,,
Adalsindo,Bebiano,Castor,Damas,Eder,Fernão,Gerardo,Hemetério,Indro,Jaque,,Lénio,Marcelo,Nelson,Onildo,Pio,,Reis,Samuel,Teotónio,,Ventura,,,,
Adalsino,Belarmino,Catarino,Damasceno,Edgar,Fernão,Gerberto,Hemitério,Infante,Jaques,,Leo,Marcial,Nélson,Onofre,Pitágoras,,Remi,Sancho,Tércio,,Verdi,,,,
Adamantino,Belchior,Cecílio,Damião,Eden,Ferrer,Germano,Henoch,Ingo,Jarbas,,Leoberto,Marcílio,Nembrode,Orandino,Plácido,,Remígio,Sancler,Tiago,,Vergílio,,,,
Adamastor,Belisário,Cedrico,Daniel,Édi,Fidélio,Gersão,Henrique,Íngue,Jardel,,Leonardo,Márcio,Nemésio,Orêncio,Plínio,,Remízio,Sandrino,Tibério,,Veridiano,,,,
Adão,Belmiro,Celestino,Danilo,Édipo,Filémon,Gerson,Heraldo,Inocêncio,Jasão,,Leôncio,Marco,Nemo,Orestes,Policarpo,,Renato,Sandro,Ticiano,,Veríssimo,,,,
Adauto,Bendavid,Celino,Dante,Edir,Filino,Gervásio,Herberto,Ioque,Jasmim,,Leone,Marcos,Nenrode,Orlandino,Pompeu,,Reno,Sansão,Tierri,,Vero,,,,
Adauto,Benedito,Célio,Dárcio,Edmero,Filinto,Getúlio,Herculano,Irineu,Jeremias,,Leonel,Marcus,Neóteles,Orlando,Porfírio,,Requerino,Santana,Timóteo,,Vérter,,,,
Adelindo,Benevenuto,Celísio,Dario,Eliab,Filipe,Giani,Herédia,Irmino,Jerónimo,,Leonício,Margarido,Neotero,Orlindo,Pracídio,,Ribca,Santelmo,Tirso,,Vianei,,,,
Adelmiro,Benício,Célsio,Dário,Eliano,Filipo,Gil,Herédio,Isaac,Jessé,,Leónidas,Mariano,Nereu,Orósio,Prado,,Ricardo,Santiago,Tito,,Vicêncio,,,,
Adelmo,Benjamim,Celso,Dener,Elias,Filomeno,Gilberto,Heriberto,Isac,Jesualdo,,Leonídio,Marílio,Nero,Óscar,Priam,,Rigoberto,Sário,Tobias,,Vicente,,,,
Ademar,Bento,Celto,Denil,Eliezer,Filoteu,Gildásio,Herlander,Isael,Jesus,,Leonildo,Marinho,Nestor,Oseas,Prião,,Ringo,Sátiro,Toledo,,Victor,,,,
Ademir,Benvindo,César,Denis,Eliézer,Firmino,Gildo,Hérman,Isaí,Jetro,,Leopoldo,Marino,Neutel,Oseias,Primitivo,,Riu,Saúl,Tomás,,Vidal,,,,
Adeodato,Berardo,Cesário,Deodato,Élio,Firmo,Gileade,Hermano,Isaías,Jitendra,,Levi,Mário,Nêuton,Osmano,Primo,,Rivelino,Saulo,Tomé,,Vidálio,,,,
Aderico,Berilo,Césaro,Deolindo,Elioenai,Flávio,Gimeno,Hermenegildo,Isaltino,Joabe,,Liberal,Marito,Nicásio,Osmar,Principiano,,Roberto,Sauro,Toni,,Vidaúl,,,,
Adério,Bernardim,Charbel,Dércio,Eliseu,Florentino,Ginestal,Hermes,Isandro,João,,Libertário,Marlon,Nichal,Osório,Priteche,,Robim,Sávio,Torcato,,Vilar,,,,
Adérito,Bernardino,Cícero,Deusdedito,Elisiário,Floriano,Gino,Hermínio,Isaque,Joaquim,,Liberto,Márlon,Nicodemos,Osvaldo,Procópio,,Roboredo,Sebastião,Torquato,,Vilator,,,,
Adiel,Bernardo,Cid,Dhruva,Elísio,Florival,Giovani,Hermitério,Isauro,Joás,,Lícidas,Marolo,Nicola,Otacílio,Próspero,,Rodolfo,Secundino,Trajano,,Vili,,,,
Adílio,Bértil,Cidalino,Diamantino,Elmano,Fortunato,Girão,Hernâni,Isidoro,Job,,Liciniano,Martim,Nicolau,Otelo,Prudêncio ,,Rodrigo,Segismundo,Tristão,,Vílmar,,,,
Adner,Bertino,Cildo,Didaco,Elmar,Fradique,Glaúcia,Hervê,Isidro,Jocelino,,Licínio,Martinho,Nídio,Otniel,,,Rogélio,Selésio,Tude,,Vílson,,,,
